Volcano Number,Volcano Name,Country,Primary Volcano Type,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
210010,West Eifel Volcanic Field,Germany,Maar(s),8300 BCE,Mediterranean and W Asia,Western Europe,50.17,6.85,600,Foidite,Tensional Continental
210020,Chaîne des Puys,France,Lava dome(s),4040 BCE,Mediterranean and W Asia,Western Europe,45.775,2.97,1464,Basalt / Picro-Basalt,Tensional Continental
210030,Olot Volcanic Field,Spain,Pyroclastic cone(s),Unknown,Mediterranean and W Asia,Western Europe,42.17,2.53,893,Trachybasalt / Tephrite Basanite,Intermediate Continental
210040,Calatrava Volcanic Field,Spain,Pyroclastic cone(s),3600 BCE,Mediterranean and W Asia,Western Europe,38.87,-4.02,1117,Basalt / Picro-Basalt,Intermediate Continental
211001,Larderello,Italy,Explosion crater(s),1282 CE,Mediterranean and W Asia,Italy,43.25,10.87,500,No Data (checked),Compressional Continental
211003,Vulsini,Italy,Caldera,104 BCE,Mediterranean and W Asia,Italy,42.6,11.93,800,Trachyte / Trachyandesite,Compressional Continental
211004,Alban Hills,Italy,Caldera,Unknown,Mediterranean and W Asia,Italy,41.73,12.7,949,Foidite,Compressional Continental
211010,Campi Flegrei,Italy,Caldera,1538 CE,Mediterranean and W Asia,Italy,40.827,14.139,458,Trachyte / Trachyandesite,Compressional Continental
211020,Vesuvius,Italy,Somma,1944 CE,Mediterranean and W Asia,Italy,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite,Compressional Continental
211030,Ischia,Italy,Complex,1302 CE,Mediterranean and W Asia,Italy,40.73,13.897,789,Trachyte / Trachyandesite,Compressional Continental
211031,Palinuro,Italy,Submarine,8040 BCE,Mediterranean and W Asia,Italy,39.48,14.83,-70,Phonolite,Compressional Continental
211040,Stromboli,Italy,Stratovolcano,2013 CE,Mediterranean and W Asia,Italy,38.789,15.213,924,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
211041,Panarea,Italy,Stratovolcano,Unknown,Mediterranean and W Asia,Italy,38.63,15.07,421,Andesite / Basaltic Andesite,Compressional Continental
211042,Lipari,Italy,Stratovolcano(es),1230 CE,Mediterranean and W Asia,Italy,38.48,14.95,602,Rhyolite,Compressional Continental
211050,Vulcano,Italy,Stratovolcano(es),1890 CE,Mediterranean and W Asia,Italy,38.404,14.962,500,Trachybasalt / Tephrite Basanite,Compressional Continental
211060,Etna,Italy,Stratovolcano(es),2013 CE,Mediterranean and W Asia,Italy,37.734,15.004,3330,Trachybasalt / Tephrite Basanite,Compressional Continental
211070,Campi Flegrei Mar Sicilia,Italy,Submarine(es),1867 CE,Mediterranean and W Asia,Italy,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,Tensional Continental
211071,Pantelleria,Italy,Shield,1891 CE,Mediterranean and W Asia,Italy,36.77,12.02,836,Rhyolite,Tensional Continental
212020,Methana,Greece,Lava dome(s),258 BCE,Mediterranean and W Asia,Greece,37.615,23.336,760,Andesite / Basaltic Andesite,Compressional Continental
