DateTime,Fum1max,Fum2Max,Fum3Max,CraterMax,EFlankAvg,WFlankAvg
2006-05-23 02:30:28,20.4,14.4,7.5,20.4,-1.1,-1.7
2006-05-23 02:30:33,17.6,12.3,5.5,17.6,-1.7,-2.3
2006-05-23 02:30:38,11.5,7.4,2.4,11.5,-2.6,-2.7
2006-05-23 02:30:43,13.8,9.4,4.1,13.8,-2.5,-2.7
2006-05-23 02:30:48,14.1,9.0,3.9,14.1,-3.1,-3.8
2006-05-23 02:30:53,9.6,6.3,2.0,9.6,-3.4,-3.1
2006-05-23 02:30:58,21.1,15.8,8.4,21.1,-2.1,-0.6
2006-05-23 02:31:03,31.3,23.2,14.4,31.3,0.8,0.2
2006-05-23 02:31:08,31.9,23.9,14.8,31.9,-0.6,0.6
2006-05-23 02:31:13,30.9,23.4,14.4,30.9,-0.2,1.1
2006-05-23 02:31:18,31.3,23.6,14.7,31.3,0.2,0.2
2006-05-23 02:31:23,30.9,23.6,14.4,30.9,1.1,0.5
2006-05-23 02:31:28,15.0,10.6,4.8,15.0,-2.7,-3.4
2006-05-23 02:31:33,12.5,9.3,3.7,12.5,-3.3,-5.0
2006-05-23 02:31:38,5.6,3.4,-1.0,5.6,-3.7,-5.3
2006-05-23 02:31:43,3.0,0.5,-1.6,3.0,-4.3,-5.2
2006-05-23 02:31:48,2.8,1.9,-1.6,2.8,-4.8,-5.3
2006-05-23 02:31:53,3.8,3.0,-1.7,3.8,-4.8,-5.0
2006-05-23 02:31:58,0.0,-1.8,-4.2,0.0,-4.9,-5.2
2006-05-23 02:32:03,0.9,-0.2,-2.1,0.9,-4.9,-4.4
2006-05-23 02:32:08,6.1,3.3,0.9,6.1,-4.6,-2.7
2006-05-23 02:32:13,10.1,4.4,4.5,10.1,-3.8,-3.3
2006-05-23 02:32:18,17.7,10.3,8.2,17.7,-2.5,-2.6
2006-05-23 02:32:23,19.7,13.8,7.1,19.7,-2.2,-2.5
2006-05-23 02:32:28,13.7,14.5,7.2,14.5,-1.9,-1.2
2006-05-23 02:32:33,19.0,11.8,5.4,19.0,-1.2,0.8
2006-05-23 02:32:38,15.0,15.8,5.8,15.8,-0.7,1.7
2006-05-23 02:32:43,12.1,11.4,7.4,12.1,-0.1,1.7
2006-05-23 02:32:48,14.2,9.2,8.5,14.2,0.4,1.7
2006-05-23 02:32:53,12.4,6.7,9.2,12.4,1.1,1.9
2006-05-23 02:32:58,20.5,7.6,10.3,20.5,1.6,2.0
2006-05-23 02:33:03,28.4,11.7,13.4,28.4,1.7,2.0
2006-05-23 02:33:08,30.8,14.4,13.8,30.8,1.7,1.9
2006-05-23 02:33:13,31.5,16.9,13.9,31.5,1.7,1.9
2006-05-23 02:33:18,32.3,18.0,14.2,32.3,1.7,1.9
2006-05-23 02:33:23,32.7,19.4,14.1,32.7,1.8,2.0
2006-05-23 02:33:28,32.7,18.5,14.1,32.7,1.7,1.9
2006-05-23 02:33:33,33.1,19.6,14.2,33.1,1.7,2.0
2006-05-23 02:33:38,33.3,19.7,14.1,33.3,1.7,1.9
2006-05-23 02:33:43,33.5,20.6,14.0,33.5,1.7,1.9
2006-05-23 02:33:48,33.5,20.3,14.0,33.5,1.7,1.9
2006-05-23 02:33:53,33.9,21.0,14.4,33.9,2.0,2.1
2006-05-23 02:33:58,34.0,21.2,14.5,34.0,2.0,2.1
2006-05-23 02:34:03,34.1,21.5,14.6,34.1,1.9,2.1
2006-05-23 02:34:08,34.1,21.7,14.5,34.1,1.9,2.0
2006-05-23 02:34:13,34.2,22.4,14.6,34.2,1.9,2.0
2006-05-23 02:34:18,34.4,22.1,14.6,34.4,1.9,2.0
2006-05-23 02:34:23,34.5,22.3,14.7,34.5,1.9,2.0
2006-05-23 02:34:28,34.4,22.4,14.6,34.4,1.9,2.0
2006-05-23 02:34:33,34.6,22.5,14.7,34.6,1.8,2.0
2006-05-23 02:34:38,34.4,22.3,14.6,34.4,1.8,2.0
2006-05-23 02:34:43,34.5,22.5,14.5,34.5,1.7,1.9
2006-05-23 02:34:48,34.5,22.9,14.5,34.5,1.7,1.9
2006-05-23 02:34:53,34.6,23.2,14.6,34.6,2.0,2.1
2006-05-23 02:34:58,34.7,23.1,14.6,34.7,1.9,2.1
2006-05-23 02:35:03,34.7,22.9,14.6,34.7,1.9,2.1
2006-05-23 02:35:08,34.8,23.0,14.6,34.8,1.9,2.0
2006-05-23 02:35:13,34.7,23.0,14.4,34.7,1.9,2.0
2006-05-23 02:35:18,34.7,23.2,14.6,34.7,1.8,2.0
2006-05-23 02:35:23,34.9,23.4,14.6,34.9,1.9,2.0
2006-05-23 02:35:28,34.9,23.4,14.6,34.9,1.9,2.0
2006-05-23 02:35:33,34.9,23.4,14.5,34.9,1.9,2.0
2006-05-23 02:35:38,34.7,23.5,14.5,34.7,1.8,1.9
2006-05-23 02:35:43,34.8,23.7,14.5,34.8,1.8,1.9
2006-05-23 02:35:48,34.8,23.5,14.7,34.8,1.8,1.9
2006-05-23 02:35:53,35.1,24.0,14.8,35.1,2.0,2.2
2006-05-23 02:35:58,35.1,23.8,14.7,35.1,2.0,2.1
2006-05-23 02:36:03,35.1,23.7,14.8,35.1,2.0,2.1
2006-05-23 02:36:08,34.9,23.8,14.8,34.9,1.9,2.1
2006-05-23 02:36:13,34.9,23.8,14.8,34.9,1.9,2.1
2006-05-23 02:36:18,35.0,24.2,14.9,35.0,1.9,2.0
2006-05-23 02:36:23,35.1,23.8,14.8,35.1,2.0,2.1
2006-05-23 02:36:28,35.1,23.9,14.7,35.1,2.0,2.1
2006-05-23 02:36:33,35.0,24.1,14.7,35.0,1.9,2.1
2006-05-23 02:36:38,34.9,24.1,14.7,34.9,1.9,2.1
