Population,Life expectancy at birth,Area,Natural hazards,Country,GDP per capita ($ PPP)
33487208.0,81.23,9984670.0,continuous permafrost in north is a serious obstacle to development; cyclonic storms form east of the Rocky Mountains a result of the mixing of air masses from the Arctic Pacific and North American interior and produce most of the country's rain and snow east of the mountains,Canada,39300
212679.0,68.32,964.0,,Sao Tome and Principe,1300
65870.0,80.77,78.0,,Guernsey,44600
4884887.0,67.87,488100.0,,Turkmenistan,6100
7637.0,78.44,308.0,active volcanism on Tristan da Cunha last eruption in 1961,Saint Helena,2500
3555179.0,74.9,65300.0,,Lithuania,17700
14494293.0,62.1,181035.0,monsoonal rains (June to November); flooding; occasional droughts,Cambodia,2000
85237338.0,55.41,1104300.0,geologically active Great Rift Valley susceptible to earthquakes volcanic eruptions; frequent droughts,Ethiopia,800
103065.0,75.28,180.0,hurricanes; lies outside the Caribbean hurricane belt and is rarely threatened,Aruba,21800
1123913.0,31.88,17364.0,drought,Swaziland,5100
15289.0,78.2,142.0,,Wallis and Futuna,3800
40913584.0,76.56,2780400.0,San Miguel de Tucuman and Mendoza areas in the Andes subject to earthquakes; pamperos are violent windstorms that can strike the pampas and northeast; heavy flooding,Argentina,14200
9775246.0,66.89,1098581.0,flooding in the northeast (March-April),Bolivia,4500
18879301.0,53.69,475440.0,volcanic activity with periodic releases of poisonous gases from Lake Nyos and Lake Monoun volcanoes,Cameroon,2300
15746232.0,52.95,274200.0,recurring droughts,Burkina Faso,1200
23832495.0,59.85,238533.0,dry dusty northeastern harmattan winds occur from January to March; droughts,Ghana,1500
28686633.0,76.3,2149690.0,frequent sand and dust storms,Saudi Arabia,20700
429474.0,71.61,4033.0,prolonged droughts; seasonal harmattan wind produces obscuring dust; volcanically and seismically active,Cape Verde,3800
88662.0,76.7,464.0,active volcanoes on Pagan and Agrihan; typhoons (especially August to November),Northern Mariana Islands abbreviation: CNMI,12500
2005692.0,76.92,20273.0,flooding; earthquakes,Slovenia,29500
13276517.0,70.29,108889.0,numerous volcanoes in mountains with occasional violent earthquakes; Caribbean coast extremely susceptible to hurricanes and other tropical storms,Guatemala,5200
4613414.0,78.5,51197.0,destructive earthquakes,Bosnia and Herzegovina,6500
2691158.0,77.71,17818.0,sudden cloudbursts are common from October to April and bring heavy rain which can damage roads and houses; sandstorms and dust storms occur throughout the year but are most common between March and August,Kuwait,57400
6342948.0,78.87,89342.0,droughts; periodic earthquakes,Jordan,5000
40525002.0,80.05,505370.0,periodic droughts,Spain,34600
3441790.0,41.84,111369.0,dust-laden harmattan winds blow from the Sahara (December to March),Liberia,500
16715999.0,79.4,41543.0,flooding,Netherlands,40300
2825928.0,73.53,10991.0,hurricanes (especially July to November),Jamaica,7400
3418085.0,74.16,309500.0,summer winds often raise large sandstorms and dust storms in interior; periodic droughts,Oman,20200
41048532.0,52.01,947300.0,flooding on the central plateau during the rainy season; drought,Tanzania,1300
76512.0,78.82,572.0,,Isle of Man abbreviation: I.O.M.,35000
1514993.0,53.11,267667.0,,Gabon,14400
68692542.0,54.36,2344858.0,periodic droughts in south; Congo River floods (seasonal); in the east in the Great Rift Valley there are active volcanoes,DRC,300
32965.0,80.09,2.0,,Monaco,30000
219998.0,71.86,2831.0,occasional typhoons; active volcanism,Samoa,4900
4213418.0,80.36,267710.0,earthquakes are common though usually not severe; volcanic activity,New Zealand abbreviation: NZ,27900
23822783.0,63.27,527968.0,sandstorms and dust storms in summer,Yemen,2400
91626.0,79.75,116.0,,Jersey,57000
176242949.0,64.49,796095.0,frequent earthquakes occasionally severe especially in north and west; flooding along the Indus after heavy rains (July and August),Pakistan,2600
